Key,Type,Desc,Plural,Group,Descriptions,English [en-US],French [fr-FR],German [de-DE],Russian,Portuguese (Brazil),Chinese [zh-CN]
Nurturer_I,Text,,,,,Nurturer I,Nourricier I,Nurturer I,Nurturer I,Nurturer I,Nurturer I
1b,Text,,,,,Apply 2[attack] and 4[health] to friendly units,Confère 2[attack] et 4[health] aux alliés,Apply 2[attack] and 4[health] to friendly units,Apply 2[attack] and 4[health] to friendly units,Apply 2[attack] and 4[health] to friendly units,Apply 2[attack] and 4[health] to friendly units
Nurturer_II,Text,,,,,Nurturer II,Nourricier II,Nurturer II,Nurturer II,Nurturer II,Nurturer II
2b,Text,,,,,Apply 4[attack] and 8[health] to friendly units,Confère 4[attack] et 8[health] aux alliés,Apply 4[attack] and 8[health] to friendly units,Apply 4[attack] and 8[health] to friendly units,Apply 4[attack] and 8[health] to friendly units,Apply 4[attack] and 8[health] to friendly units
Nurturer_III,Text,,,,,Nurturer III,Nourricier III,Nurturer III,Nurturer III,Nurturer III,Nurturer III
3b,Text,,,,,Apply 6[attack] and 12[health] to friendly units,Confère 6[attack] et 12[health] aux alliés,Apply 6[attack] and 12[health] to friendly units,Apply 6[attack] and 12[health] to friendly units,Apply 6[attack] and 12[health] to friendly units,Apply 6[attack] and 12[health] to friendly units
Host_I,Text,,,,,Host I,Hôte I,Host I,Host I,Host I,Host I
1a,Text,,,,,Apply <b>sap</b> 2 to all enemies,Confère 2  <b>affaiblissement</b> aux enemis,Apply <b>sap</b> 2 to all enemies,Apply <b>sap</b> 2 to all enemies,Apply <b>sap</b> 2 to all enemies,Apply <b>sap</b> 2 to all enemies
Host_II,Text,,,,,Host II,Hôte II,Host II,Host II,Host II,Host II
2a,Text,,,,,Apply <b>sap</b> 3 to all enemies,Confère 3  <b>affaiblissement</b> aux enemis,Apply <b>sap</b> 3 to all enemies,Apply <b>sap</b> 3 to all enemies,Apply <b>sap</b> 3 to all enemies,Apply <b>sap</b> 3 to all enemies
Host_III,Text,,,,,Host III,Hôte III,Host III,Host III,Host III,Host III
3a,Text,,,,,Apply <b>sap</b> 3 to all enemies,Confère 3  <b>affaiblissement</b> aux enemis,Apply <b>sap</b> 3 to all enemies,Apply <b>sap</b> 3 to all enemies,Apply <b>sap</b> 3 to all enemies,Apply <b>sap</b> 3 to all enemies
Security_I,Text,,,,,Security I,Sécurité I,Security I,Security I,Security I,Security I
Security_II,Text,,,,,Security II,Sécurité II,Security II,Security II,Security II,Security II
Security_III,Text,,,,,Security III,Sécurité III,Security III,Security III,Security III,Security III
1d,Text,,,,,Summon a Sour Guard,Invoque un Garde Acide,Summon a Sour Guard,Summon a Sour Guard,Summon a Sour Guard,Summon a Sour Guard
Catering_I,Text,,,,,Catering I,Traiteur I,Catering I,Catering I,Catering I,Catering I
Catering_II,Text,,,,,Catering II,Traiteur II,Catering II,Catering II,Catering II,Catering II
Catering_III,Text,,,,,Catering III,Traiteur III,Catering III,Catering III,Catering III,Catering III
